,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Sarah's Favorite Brother,103.32,125.60,93.68,102.44,117.74,90.24,149.04,121.42,142.52,104.58,90.96,122.92,133.96,77.12,117.74,86.12,70.28
Daniel-San,165.92,90.38,94.76,151.90,102.62,141.88,95.44,118.26,108.80,116.32,114.74,76.18,111.94,127.60,143.06,102.62,99.60
I WEAR MY SUNGLASSES,94.94,101.84,121.06,114.80,125.72,101.26,145.76,103.62,103.62,86.84,86.54,121.36,106.98,103.86,95.30
Princess snappers,81.08,87.94,115.54,150.90,109.90,127.92,135.74,137.16,144.80,102.60,135.40,108.06,113.20,54.20,162.50,159.90,92.10
SGMDESIGNS,92.66,101.12,155.32,108.66,111.82,64.40,70.96,63.22,94.32,104.24,122.88,69.92,106.72,143.84,104.52
Tarshizan,98.28,120.70,110.92,97.52,114.82,114.34,137.18,129.18,115.36,101.70,62.24,107.56,132.58,112.66,137.10,133.56,84.72
The Suspendeders,96.12,112.00,114.06,113.50,82.00,66.52,105.60,68.20,62.70,84.80,75.50,81.10,55.30,95.40,70.00
The Tatman,146.06,162.30,126.02,154.38,140.44,119.20,64.50,126.30,112.06,96.14,120.72,88.52,99.74,112.26,158.90,116.04,144.52
Mifakdim,73.72,125.04,158.02,106.18,145.20,94.68,111.92,118.28,86.98,141.30,74.68,105.98,118.94,121.04,109.20,113.36,133.00
Let’s go Mets,99.02,131.24,88.34,146.66,92.98,142.34,115.96,111.52,58.90,139.40,151.82,126.96,114.80,126.74,121.26,118.86,98.28
MINI YITZ,89.58,82.60,119.56,139.10,111.66,144.14,118.16,129.68,136.64,133.30,108.70,116.52,114.84,133.14,105.62,106.98,93.66
House of the Rising Sun,123.18,145.68,93.70,120.72,89.54,77.96,114.10,101.28,137.08,99.30,64.84,113.94,89.14,104.28,121.38
